Player,Country,Matches,Innings,Not Outs,Runs,Ave,Balls Faced,Strike Rate,100,50,Ducks,4s,6s
VR Aaron,IND,3,4,1,11,3.66,27,40.74,0,0,0,0,0
KJ Abbott,SA,12,3,2,5,5,6,83.33,0,0,0,0,0
SA Abbott,AUS,4,2,0,8,4,15,53.33,0,0,0,1,0
Abul Hasan,BAN,2,1,0,1,1,3,33.33,0,0,0,0,0
Afsar Zazai,AFG,10,10,1,226,25.11,381,59.32,0,2,1,15,0
Aftab Alam,AFG,4,4,2,17,8.5,15,113.33,0,0,1,2,1
Ahmed Raza,UAE,1,1,1,12,0,11,109.09,0,0,0,1,0
Ahmed Shehzad,PAK,17,19,0,806,42.42,1300,62,3,3,2,77,8
Aizaz Khan,HK,3,3,0,92,30.66,133,69.17,0,0,0,5,1
MM Ali,ENG,14,14,0,385,27.5,364,105.77,1,1,1,39,16
Al Amin Hossain,BAN,3,1,0,9,9,15,60,0,0,0,2,0
CJA Amini,PNG,2,2,1,61,61,68,89.71,0,1,1,8,0
CR Amini,PNG,2,1,1,3,0,3,100,0,0,0,0,0
Amjad Ali,UAE,5,5,0,132,26.4,172,76.74,0,1,0,21,1
Amjad Javed,UAE,2,1,1,25,0,19,131.58,0,0,0,3,1
HM Amla,SA,17,18,3,1113,74.2,1490,74.7,5,3,0,120,6
Anamul Haque,BAN,6,6,0,229,38.16,339,67.55,0,2,0,21,2
Anas Khan,HK,1,1,1,21,0,28,75,0,0,0,2,0
CJ Anderson,NZ,21,20,1,527,27.73,585,90.09,0,3,2,53,16
JM Anderson,ENG,6,3,2,14,14,15,93.33,0,0,0,2,0
Ankur Vasishta,HK,2,2,1,2,2,13,15.38,0,0,0,0,0
Anshuman Rath,HK,2,2,0,77,38.5,119,64.71,0,1,0,8,0
Anwar Ali,PAK,7,6,1,67,13.4,91,73.63,0,0,0,7,1
Arafat Sunny,BAN,3,1,1,1,0,1,100,0,0,0,0,0
Asad Shafiq,PAK,12,13,1,471,39.25,770,61.17,1,2,0,46,11
Asghar Stanikzai,AFG,9,9,0,206,22.88,295,69.83,0,1,0,12,6
R Ashwin,IND,10,10,4,133,22.16,268,49.63,0,1,2,14,0
JJ Atkinson,HK,3,3,0,81,27,116,69.83,0,1,1,7,0
Awais Zia,PAK,2,2,0,23,11.5,28,82.14,0,0,0,2,0
Azhar Ali,PAK,5,10,1,546,60.66,1335,40.9,2,3,0,40,2
Babar Hayat,HK,3,3,0,55,18.33,62,88.71,0,1,2,7,1
GJ Bailey,AUS,13,12,0,245,20.41,388,63.14,0,2,1,12,4
A Balbirnie,IRE,5,4,1,77,25.66,109,70.64,0,0,0,8,0
GS Ballance,ENG,2,2,0,20,10,39,51.28,0,0,0,2,0
T Bavuma,SA,2,2,0,25,12.5,76,32.89,0,0,0,4,0
F Behardien,SA,17,12,3,178,19.77,165,107.88,0,1,1,15,3
IR Bell,ENG,9,9,1,337,42.12,348,96.84,1,1,1,35,1
SJ Benn,WI,11,9,5,40,10,66,60.61,0,0,1,5,2
AR Berenger,UAE,5,5,0,174,34.8,229,75.98,0,2,0,22,0
RD Berrington,SCOT,5,4,0,145,36.25,217,66.82,0,2,0,10,1
B Bhandari,NEP,1,1,0,1,1,2,50,0,0,0,0,0
A Bhattarai,NEP,1,1,0,2,2,3,66.67,0,0,0,0,0
Bilawal Bhatti,PAK,2,2,0,9,4.5,13,69.23,0,0,1,1,0
STR Binny,IND,5,3,0,63,21,82,76.83,0,0,0,6,2
J Blackwood,WI,2,4,0,96,24,177,54.24,0,1,0,13,0
DE Bollinger,AUS,3,0,0,0,0,0,0,0,0,0,0,0
RS Bopara,ENG,11,10,0,242,24.2,333,72.67,0,2,0,10,3
TA Boult,NZ,16,9,5,81,20.25,134,60.45,0,0,1,9,3
CJ Boyce,AUS,4,1,1,1,0,1,100,0,0,0,0,0
DAJ Bracewell,NZ,1,1,0,16,16,26,61.54,0,0,0,2,0
CR Brathwaite,WI,4,4,0,17,4.25,35,48.57,0,0,0,0,1
KC Brathwaite,WI,3,5,0,183,36.6,381,48.03,1,0,0,22,0
DJ Bravo,WI,6,6,0,57,9.5,72,79.17,0,0,1,6,1
DM Bravo,WI,5,5,1,143,35.75,218,65.6,0,0,1,13,1
SCJ Broad,ENG,7,6,3,31,10.33,38,81.58,0,0,1,2,2
DG Brownlie,NZ,8,7,0,181,25.85,232,78.02,0,0,1,24,1
NB Budayair,NEP,1,1,0,5,5,15,33.33,0,0,0,0,0
JA Burns,AUS,2,4,0,146,36.5,197,74.11,0,2,0,20,3
JC Buttler,ENG,14,13,2,295,26.81,347,85.01,0,2,0,27,2
JL Carter,WI,5,5,0,80,16,116,68.97,0,0,1,7,2
RW Chakabva,ZIM,8,11,1,433,43.3,938,46.16,1,2,0,38,3
PVD Chameera,SL,1,0,0,0,0,0,0,0,0,0,0,0
S Chanderpaul,WI,3,5,0,91,18.2,255,35.69,0,1,0,9,0
LD Chandimal,SL,8,9,1,198,24.75,325,60.92,0,2,1,19,1
BB Chari,ZIM,2,4,0,29,7.25,120,24.17,0,0,2,2,1
PKD Chase,IRE,1,0,0,0,0,0,0,0,0,0,0,0
TL Chatara,ZIM,8,9,3,52,8.66,81,64.2,0,0,2,5,2
CJ Chibhabha,ZIM,1,1,0,64,64,82,78.05,0,1,0,10,0
E Chigumbura,ZIM,10,13,3,270,27,369,73.17,0,2,1,23,5
MJ Clarke,AUS,4,7,0,203,29,297,68.35,1,0,0,27,0
KJ Coetzer,SCOT,5,4,0,41,10.25,77,53.25,0,0,0,7,0
FRJ Coleman,SCOT,2,1,0,2,2,11,18.18,0,0,0,0,0
AN Cook,ENG,6,6,0,119,19.83,177,67.23,0,0,0,14,1
SS Cottrell,WI,6,5,2,9,3,23,39.13,0,0,1,0,0
NM Coulter0Nile,AUS,3,2,1,11,11,18,61.11,0,0,0,1,0
MD Craig,NZ,5,7,1,190,31.66,377,50.4,0,1,0,14,4
MH Cross,SCOT,5,4,0,66,16.5,79,83.54,0,0,0,8,0
PJ Cummins,AUS,8,4,2,4,2,12,33.33,0,0,1,0,0
AR Cusack,IRE,3,3,2,37,37,62,59.68,0,0,0,5,0
BCJ Cutting,AUS,1,1,0,6,6,6,100,0,0,0,0,0
MD Dai,PNG,2,2,0,19,9.5,18,105.56,0,0,0,3,0
JH Davey,SCOT,4,3,3,86,0,84,102.38,0,1,0,10,0
Dawlat Zadran,AFG,8,6,3,55,18.33,84,65.48,0,0,0,3,2
Q de Kock,SA,15,15,2,422,32.46,482,87.55,1,1,1,47,6
M de Lange,SA,4,0,0,0,0,0,0,0,0,0,0,0
N Deonarine,WI,2,2,0,53,26.5,77,68.83,0,0,0,7,1
PC de Silva,SL,1,1,0,2,2,7,28.57,0,0,0,0,0
AP Devcich,NZ,6,5,0,106,21.2,133,79.7,0,1,1,13,0
AB de Villiers,SA,16,15,2,1044,80.3,1077,96.94,3,5,0,97,23
S Dhawan,IND,15,18,0,813,45.16,983,82.71,2,5,1,88,9
MS Dhoni,IND,11,12,2,239,23.9,331,72.21,0,1,1,24,2
N Dickwella,SL,2,3,0,10,3.33,36,27.78,0,0,0,0,0
TM Dilshan,SL,21,20,0,953,47.65,1118,85.24,3,4,1,124,3
GH Dockrell,IRE,4,1,1,2,0,5,40,0,0,0,0,0
XJ Doherty,AUS,5,1,1,1,0,1,100,0,0,0,0,0
AJ Doolan,AUS,1,2,0,5,2.5,39,12.82,0,0,1,0,0
JP Duminy,SA,14,11,5,335,55.83,365,91.78,1,1,0,23,8
BR Dunk,AUS,3,3,0,39,13,34,114.71,0,0,0,3,1
F du Plessis,SA,19,19,1,664,36.88,963,68.95,2,4,2,65,13
Ehsan Adil,PAK,3,3,0,7,2.33,16,43.75,0,0,1,1,0
D Elgar,SA,3,4,1,217,72.33,414,52.42,1,1,0,29,1
GD Elliott,NZ,10,9,3,344,57.33,366,93.99,1,1,0,27,5
RMS Eranga,SL,5,4,4,72,0,98,73.47,0,0,0,11,0
CR Ervine,ZIM,5,8,0,167,20.87,249,67.07,0,0,0,14,5
AC Evans,SCOT,2,1,1,1,0,3,33.33,0,0,0,0,0
Fahad Alhashmi,UAE,2,1,0,0,0,1,0,0,0,1,0,0
Farid Malik,AFG,1,0,0,0,0,0,0,0,0,0,0,0
JP Faulkner,AUS,14,12,8,267,66.75,257,103.89,0,1,0,24,7
Fawad Alam,PAK,3,3,1,27,13.5,68,39.71,0,0,1,1,0
N Pradeep,SL,1,2,1,1,1,2,50,0,0,0,0,0
AJ Finch,AUS,18,17,1,656,41,715,91.75,2,2,2,68,12
ST Finn,ENG,12,7,2,9,1.8,60,15,0,0,3,0,0
ADS Fletcher,WI,1,1,0,2,2,6,33.33,0,0,0,0,0
ST Gabriel,WI,2,2,2,6,0,15,40,0,0,0,1,0
PLS Gamage,SL,4,2,2,0,0,12,0,0,0,0,0,0
